Academic Year,University,Source of Salary Funding,Staff Grade,Mode of Employment,Staff No. (Headcount)
2021/22,The Chinese University of Hong Kong,Wholly self-financed,Junior Academic Staff,Part-time,3
2021/22,The Chinese University of Hong Kong,Wholly self-financed,Junior Academic Staff,Short-term,87
2021/22,The Chinese University of Hong Kong,Wholly self-financed,Senior Academic Staff,Full-time,8
2021/22,The Chinese University of Hong Kong,Wholly self-financed,Senior Academic Staff,Part-time,2
2021/22,The Chinese University of Hong Kong,Wholly self-financed,Technical Research Staff,Full-time,727
2021/22,The Chinese University of Hong Kong,Wholly self-financed,Technical Research Staff,Part-time,4
2021/22,The Chinese University of Hong Kong,Wholly self-financed,Technical Research Staff,Short-term,96
2021/22,The Education University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Part-time,1
2021/22,The Education University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Short-term,6
2021/22,The Education University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,20
2021/22,The Education University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,5
2021/22,The Education University of Hong Kong,Partially Funded by General Funds,Senior Academic Staff,Full-time,1
2021/22,The Education University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Full-time,50
2021/22,The Education University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Part-time,7
2021/22,The Education University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Short-term,43
2021/22,The Education University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,157
2021/22,The Education University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,150
2021/22,The Education University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,63
2021/22,The Education University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,170
2021/22,The Education University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,7
2021/22,The Education University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,8
2021/22,The Education University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Full-time,138
2021/22,The Education University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Part-time,2
2021/22,The Education University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Short-term,1
2021/22,The Education University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Full-time,128
2021/22,The Education University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Part-time,10
2021/22,The Education University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Short-term,1
2021/22,The Education University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Full-time,95
2021/22,The Education University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Part-time,25
2021/22,The Education University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Short-term,99
2021/22,The Education University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Full-time,11
2021/22,The Education University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Part-time,53
2021/22,The Education University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Short-term,47
2021/22,The Education University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,73
2021/22,The Education University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,5
2021/22,The Education University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,7
2021/22,The Education University of Hong Kong,Wholly self-financed,Junior Academic Staff,Full-time,1
2021/22,The Education University of Hong Kong,Wholly self-financed,Senior Academic Staff,Short-term,1
2021/22,The Education University of Hong Kong,Wholly self-financed,Technical Research Staff,Full-time,47
2021/22,The Education University of Hong Kong,Wholly self-financed,Technical Research Staff,Part-time,16
2021/22,The Education University of Hong Kong,Wholly self-financed,Technical Research Staff,Short-term,44
2021/22,The Hong Kong Polytechnic University,Partially Funded by General Funds,Academic Supporting Staff,Full-time,21
2021/22,The Hong Kong Polytechnic University,Partially Funded by General Funds,Academic Supporting Staff,Part-time,3
2021/22,The Hong Kong Polytechnic University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,46
2021/22,The Hong Kong Polytechnic University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,6
2021/22,The Hong Kong Polytechnic University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,3
2021/22,The Hong Kong Polytechnic University,Partially Funded by General Funds,Junior Academic Staff,Full-time,24
2021/22,The Hong Kong Polytechnic University,Partially Funded by General Funds,Junior Academic Staff,Part-time,2
2021/22,The Hong Kong Polytechnic University,Partially Funded by General Funds,Junior Academic Staff,Short-term,3
2021/22,The Hong Kong Polytechnic University,Partially Funded by General Funds,Senior Academic Staff,Full-time,17
2021/22,The Hong Kong Polytechnic University,Partially Funded by General Funds,Senior Academic Staff,Part-time,4
2021/22,The Hong Kong Polytechnic University,Partially Funded by General Funds,Technical Research Staff,Full-time,145
2021/22,The Hong Kong Polytechnic University,Partially Funded by General Funds,Technical Research Staff,Part-time,53
2021/22,The Hong Kong Polytechnic University,Partially Funded by General Funds,Technical Research Staff,Short-term,252
2021/22,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,351
2021/22,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,42
2021/22,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,91
2021/22,The Hong Kong Polytechnic University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,555
2021/22,The Hong Kong Polytechnic University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,13
2021/22,The Hong Kong Polytechnic University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,27
2021/22,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Junior Academic Staff,Full-time,414
2021/22,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Junior Academic Staff,Part-time,12
2021/22,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Junior Academic Staff,Short-term,138
2021/22,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Senior Academic Staff,Full-time,436
2021/22,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Senior Academic Staff,Part-time,51
2021/22,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Senior Academic Staff,Short-term,4
2021/22,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Technical Research Staff,Full-time,278
2021/22,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Technical Research Staff,Part-time,56
2021/22,The Hong Kong Polytechnic University,Wholly Funded by General Funds,Technical Research Staff,Short-term,500
2021/22,The Hong Kong Polytechnic University,Wholly self-financed,Academic Supporting Staff,Full-time,22
2021/22,The Hong Kong Polytechnic University,Wholly self-financed,Academic Supporting Staff,Part-time,13
2021/22,The Hong Kong Polytechnic University,Wholly self-financed,Academic Supporting Staff,Short-term,55
2021/22,The Hong Kong Polytechnic University,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,158
2021/22,The Hong Kong Polytechnic University,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,18
2021/22,The Hong Kong Polytechnic University,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,29
2021/22,The Hong Kong Polytechnic University,Wholly self-financed,Junior Academic Staff,Full-time,10
2021/22,The Hong Kong Polytechnic University,Wholly self-financed,Junior Academic Staff,Part-time,10
2021/22,The Hong Kong Polytechnic University,Wholly self-financed,Junior Academic Staff,Short-term,84
2021/22,The Hong Kong Polytechnic University,Wholly self-financed,Senior Academic Staff,Full-time,13
2021/22,The Hong Kong Polytechnic University,Wholly self-financed,Senior Academic Staff,Part-time,43
2021/22,The Hong Kong Polytechnic University,Wholly self-financed,Senior Academic Staff,Short-term,5
2021/22,The Hong Kong Polytechnic University,Wholly self-financed,Technical Research Staff,Full-time,429
2021/22,The Hong Kong Polytechnic University,Wholly self-financed,Technical Research Staff,Part-time,81
2021/22,The Hong Kong Polytechnic University,Wholly self-financed,Technical Research Staff,Short-term,415
2021/22,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Academic Supporting Staff,Full-time,1
2021/22,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Academic Supporting Staff,Part-time,1
2021/22,The Hong Kong University of Science and Technology,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,10
2021/22,The Hong Kong University of Science and Technology,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,3
2021/22,The Hong Kong University of Science and Technology,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,1
2021/22,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Junior Academic Staff,Full-time,5
2021/22,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Senior Academic Staff,Full-time,1
2021/22,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Technical Research Staff,Full-time,167
2021/22,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Technical Research Staff,Part-time,50
2021/22,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Technical Research Staff,Short-term,92
2021/22,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,285
2021/22,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,21
2021/22,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,16
2021/22,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,527
2021/22,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,2
2021/22,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,5
2021/22,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Junior Academic Staff,Full-time,275
2021/22,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Junior Academic Staff,Part-time,5
2021/22,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Junior Academic Staff,Short-term,11
2021/22,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Senior Academic Staff,Full-time,277
2021/22,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Senior Academic Staff,Part-time,5
2021/22,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Senior Academic Staff,Short-term,3
2021/22,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Technical Research Staff,Full-time,286
2021/22,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Technical Research Staff,Part-time,28
2021/22,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Technical Research Staff,Short-term,39
2021/22,The Hong Kong University of Science and Technology,Wholly self-financed,Academic Supporting Staff,Full-time,20
2021/22,The Hong Kong University of Science and Technology,Wholly self-financed,Academic Supporting Staff,Part-time,3
2021/22,The Hong Kong University of Science and Technology,Wholly self-financed,Academic Supporting Staff,Short-term,46
2021/22,The Hong Kong University of Science and Technology,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,175
2021/22,The Hong Kong University of Science and Technology,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,11
2021/22,The Hong Kong University of Science and Technology,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,6
2021/22,The Hong Kong University of Science and Technology,Wholly self-financed,Junior Academic Staff,Full-time,8
2021/22,The Hong Kong University of Science and Technology,Wholly self-financed,Junior Academic Staff,Part-time,2
2021/22,The Hong Kong University of Science and Technology,Wholly self-financed,Junior Academic Staff,Short-term,8
2021/22,The Hong Kong University of Science and Technology,Wholly self-financed,Senior Academic Staff,Full-time,6
2021/22,The Hong Kong University of Science and Technology,Wholly self-financed,Senior Academic Staff,Part-time,3
2021/22,The Hong Kong University of Science and Technology,Wholly self-financed,Senior Academic Staff,Short-term,8
2021/22,The Hong Kong University of Science and Technology,Wholly self-financed,Technical Research Staff,Full-time,329
2021/22,The Hong Kong University of Science and Technology,Wholly self-financed,Technical Research Staff,Part-time,63
2021/22,The Hong Kong University of Science and Technology,Wholly self-financed,Technical Research Staff,Short-term,120
2021/22,The University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Full-time,39
2021/22,The University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Part-time,1
2021/22,The University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Short-term,13
2021/22,The University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,83
2021/22,The University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,16
2021/22,The University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,63
2021/22,The University of Hong Kong,Partially Funded by General Funds,Junior Academic Staff,Full-time,57
2021/22,The University of Hong Kong,Partially Funded by General Funds,Senior Academic Staff,Full-time,2
2021/22,The University of Hong Kong,Partially Funded by General Funds,Senior Academic Staff,Part-time,2
2021/22,The University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Full-time,439
2021/22,The University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Part-time,18
2021/22,The University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Short-term,196
2021/22,The University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,425
2021/22,The University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,39
2021/22,The University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,53
2021/22,The University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,1322
2021/22,The University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,22
2021/22,The University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,105
2021/22,The University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Full-time,715
2021/22,The University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Part-time,6
2021/22,The University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Short-term,3
2021/22,The University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Full-time,320
2021/22,The University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Part-time,7
2021/22,The University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Full-time,249
2021/22,The University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Part-time,19
2021/22,The University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Short-term,123
2021/22,The University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Full-time,230
2021/22,The University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Part-time,35
2021/22,The University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Short-term,14
2021/22,The University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,786
2021/22,The University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,35
2021/22,The University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,86
2021/22,The University of Hong Kong,Wholly self-financed,Junior Academic Staff,Full-time,66
2021/22,The University of Hong Kong,Wholly self-financed,Junior Academic Staff,Part-time,2
2021/22,The University of Hong Kong,Wholly self-financed,Junior Academic Staff,Short-term,1
2021/22,The University of Hong Kong,Wholly self-financed,Senior Academic Staff,Full-time,6
2021/22,The University of Hong Kong,Wholly self-financed,Senior Academic Staff,Part-time,7
2021/22,The University of Hong Kong,Wholly self-financed,Technical Research Staff,Full-time,842
2021/22,The University of Hong Kong,Wholly self-financed,Technical Research Staff,Part-time,56
2021/22,The University of Hong Kong,Wholly self-financed,Technical Research Staff,Short-term,289
2022/23,City University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Full-time,2
2022/23,City University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Short-term,6
2022/23,City University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,44
2022/23,City University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,24
2022/23,City University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,95
2022/23,City University of Hong Kong,Partially Funded by General Funds,Junior Academic Staff,Full-time,6
2022/23,City University of Hong Kong,Partially Funded by General Funds,Senior Academic Staff,Short-term,1
2022/23,City University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Full-time,372
2022/23,City University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Part-time,74
2022/23,City University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Short-term,390
2022/23,City University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,124
2022/23,City University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,94
2022/23,City University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,438
2022/23,City University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,10
2022/23,City University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,222
2022/23,City University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Full-time,314
2022/23,City University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Short-term,6
2022/23,City University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Full-time,476
2022/23,City University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Short-term,2
2022/23,City University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Full-time,102
2022/23,City University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Part-time,27
2022/23,City University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Short-term,124
2022/23,City University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Full-time,1
2022/23,City University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Short-term,3
2022/23,City University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,11
2022/23,City University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,6
2022/23,City University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,42
2022/23,City University of Hong Kong,Wholly self-financed,Technical Research Staff,Full-time,68
2022/23,City University of Hong Kong,Wholly self-financed,Technical Research Staff,Part-time,13
2022/23,City University of Hong Kong,Wholly self-financed,Technical Research Staff,Short-term,43
2022/23,Hong Kong Baptist University,Partially Funded by General Funds,Academic Supporting Staff,Full-time,6
2022/23,Hong Kong Baptist University,Partially Funded by General Funds,Academic Supporting Staff,Part-time,2
2022/23,Hong Kong Baptist University,Partially Funded by General Funds,Academic Supporting Staff,Short-term,1
2022/23,Hong Kong Baptist University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,5
2022/23,Hong Kong Baptist University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,12
2022/23,Hong Kong Baptist University,Partially Funded by General Funds,Junior Academic Staff,Full-time,12
2022/23,Hong Kong Baptist University,Partially Funded by General Funds,Senior Academic Staff,Full-time,5
2022/23,Hong Kong Baptist University,Partially Funded by General Funds,Senior Academic Staff,Part-time,1
2022/23,Hong Kong Baptist University,Partially Funded by General Funds,Senior Academic Staff,Short-term,1
2022/23,Hong Kong Baptist University,Partially Funded by General Funds,Technical Research Staff,Full-time,5
2022/23,Hong Kong Baptist University,Partially Funded by General Funds,Technical Research Staff,Part-time,1
2022/23,Hong Kong Baptist University,Partially Funded by General Funds,Technical Research Staff,Short-term,1
2022/23,Hong Kong Baptist University,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,133
2022/23,Hong Kong Baptist University,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,15
2022/23,Hong Kong Baptist University,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,201
2022/23,Hong Kong Baptist University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,208
2022/23,Hong Kong Baptist University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,9
2022/23,Hong Kong Baptist University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,26
2022/23,Hong Kong Baptist University,Wholly Funded by General Funds,Junior Academic Staff,Full-time,148
2022/23,Hong Kong Baptist University,Wholly Funded by General Funds,Senior Academic Staff,Full-time,216
2022/23,Hong Kong Baptist University,Wholly Funded by General Funds,Senior Academic Staff,Part-time,7
2022/23,Hong Kong Baptist University,Wholly Funded by General Funds,Senior Academic Staff,Short-term,1
2022/23,Hong Kong Baptist University,Wholly Funded by General Funds,Technical Research Staff,Full-time,132
2022/23,Hong Kong Baptist University,Wholly Funded by General Funds,Technical Research Staff,Part-time,25
2022/23,Hong Kong Baptist University,Wholly Funded by General Funds,Technical Research Staff,Short-term,163
2022/23,Hong Kong Baptist University,Wholly self-financed,Academic Supporting Staff,Full-time,113
2022/23,Hong Kong Baptist University,Wholly self-financed,Academic Supporting Staff,Part-time,39
2022/23,Hong Kong Baptist University,Wholly self-financed,Academic Supporting Staff,Short-term,151
2022/23,Hong Kong Baptist University,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,220
2022/23,Hong Kong Baptist University,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,47
2022/23,Hong Kong Baptist University,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,2
2022/23,Hong Kong Baptist University,Wholly self-financed,Junior Academic Staff,Full-time,15
2022/23,Hong Kong Baptist University,Wholly self-financed,Senior Academic Staff,Full-time,2
2022/23,Hong Kong Baptist University,Wholly self-financed,Senior Academic Staff,Part-time,6
2022/23,Hong Kong Baptist University,Wholly self-financed,Senior Academic Staff,Short-term,1
2022/23,Hong Kong Baptist University,Wholly self-financed,Technical Research Staff,Full-time,113
2022/23,Hong Kong Baptist University,Wholly self-financed,Technical Research Staff,Part-time,13
2022/23,Hong Kong Baptist University,Wholly self-financed,Technical Research Staff,Short-term,76
2022/23,Lingnan University,Partially Funded by General Funds,Academic Supporting Staff,Full-time,2
2022/23,Lingnan University,Partially Funded by General Funds,Academic Supporting Staff,Short-term,13
2022/23,Lingnan University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,13
2022/23,Lingnan University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,1
2022/23,Lingnan University,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,64
2022/23,Lingnan University,Partially Funded by General Funds,Junior Academic Staff,Full-time,14
2022/23,Lingnan University,Partially Funded by General Funds,Technical Research Staff,Full-time,5
2022/23,Lingnan University,Partially Funded by General Funds,Technical Research Staff,Short-term,41
2022/23,Lingnan University,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,58
2022/23,Lingnan University,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,2
2022/23,Lingnan University,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,49
2022/23,Lingnan University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,70
2022/23,Lingnan University,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,22
2022/23,Lingnan University,Wholly Funded by General Funds,Junior Academic Staff,Full-time,66
2022/23,Lingnan University,Wholly Funded by General Funds,Senior Academic Staff,Full-time,78
2022/23,Lingnan University,Wholly Funded by General Funds,Senior Academic Staff,Part-time,1
2022/23,Lingnan University,Wholly Funded by General Funds,Technical Research Staff,Full-time,5
2022/23,Lingnan University,Wholly Funded by General Funds,Technical Research Staff,Short-term,2
2022/23,Lingnan University,Wholly self-financed,Academic Supporting Staff,Full-time,13
2022/23,Lingnan University,Wholly self-financed,Academic Supporting Staff,Part-time,9
2022/23,Lingnan University,Wholly self-financed,Academic Supporting Staff,Short-term,161
2022/23,Lingnan University,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,67
2022/23,Lingnan University,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,1
2022/23,Lingnan University,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,53
2022/23,Lingnan University,Wholly self-financed,Junior Academic Staff,Full-time,29
2022/23,Lingnan University,Wholly self-financed,Junior Academic Staff,Part-time,1
2022/23,Lingnan University,Wholly self-financed,Senior Academic Staff,Part-time,10
2022/23,Lingnan University,Wholly self-financed,Technical Research Staff,Full-time,41
2022/23,Lingnan University,Wholly self-financed,Technical Research Staff,Short-term,59
2022/23,The Chinese University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Full-time,72
2022/23,The Chinese University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Part-time,4
2022/23,The Chinese University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Short-term,1
2022/23,The Chinese University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,143
2022/23,The Chinese University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,1
2022/23,The Chinese University of Hong Kong,Partially Funded by General Funds,Junior Academic Staff,Full-time,75
2022/23,The Chinese University of Hong Kong,Partially Funded by General Funds,Senior Academic Staff,Full-time,29
2022/23,The Chinese University of Hong Kong,Partially Funded by General Funds,Senior Academic Staff,Part-time,1
2022/23,The Chinese University of Hong Kong,Partially Funded by General Funds,Senior Academic Staff,Short-term,1
2022/23,The Chinese University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Full-time,538
2022/23,The Chinese University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Short-term,107
2022/23,The Chinese University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,450
2022/23,The Chinese University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,18
2022/23,The Chinese University of Hong Kong,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,16
2022/23,The Chinese University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,1220
2022/23,The Chinese University of Hong Kong,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,4
2022/23,The Chinese University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Full-time,532
2022/23,The Chinese University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Part-time,3
2022/23,The Chinese University of Hong Kong,Wholly Funded by General Funds,Junior Academic Staff,Short-term,119
2022/23,The Chinese University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Full-time,328
2022/23,The Chinese University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Part-time,4
2022/23,The Chinese University of Hong Kong,Wholly Funded by General Funds,Senior Academic Staff,Short-term,3
2022/23,The Chinese University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Full-time,194
2022/23,The Chinese University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Part-time,2
2022/23,The Chinese University of Hong Kong,Wholly Funded by General Funds,Technical Research Staff,Short-term,54
2022/23,The Chinese University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Full-time,88
2022/23,The Chinese University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Part-time,7
2022/23,The Chinese University of Hong Kong,Wholly self-financed,Academic Supporting Staff,Short-term,13
2022/23,The Chinese University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,801
2022/23,The Chinese University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,16
2022/23,The Chinese University of Hong Kong,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,4
2022/23,The Chinese University of Hong Kong,Wholly self-financed,Junior Academic Staff,Full-time,66
2022/23,The Chinese University of Hong Kong,Wholly self-financed,Junior Academic Staff,Part-time,2
2022/23,The Chinese University of Hong Kong,Wholly self-financed,Junior Academic Staff,Short-term,88
2022/23,The Chinese University of Hong Kong,Wholly self-financed,Senior Academic Staff,Full-time,9
2022/23,The Chinese University of Hong Kong,Wholly self-financed,Technical Research Staff,Full-time,757
