Academic Year,University,Source of Salary Funding,Staff Grade,Mode of Employment,Staff No. (Headcount)
2009/10,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Senior Academic Staff,Short-term,1
2009/10,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Technical Research Staff,Full-time,194
2009/10,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Technical Research Staff,Part-time,12
2009/10,The Hong Kong University of Science and Technology,Partially Funded by General Funds,Technical Research Staff,Short-term,62
2009/10,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Academic Supporting Staff,Full-time,143
2009/10,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Academic Supporting Staff,Part-time,14
2009/10,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Academic Supporting Staff,Short-term,15
2009/10,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,334
2009/10,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,5
2009/10,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,19
2009/10,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Junior Academic Staff,Full-time,197
2009/10,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Junior Academic Staff,Part-time,2
2009/10,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Junior Academic Staff,Short-term,21
2009/10,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Senior Academic Staff,Full-time,246
2009/10,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Senior Academic Staff,Part-time,1
2009/10,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Senior Academic Staff,Short-term,3
2009/10,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Technical Research Staff,Full-time,220
2009/10,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Technical Research Staff,Part-time,2
2009/10,The Hong Kong University of Science and Technology,Wholly Funded by General Funds,Technical Research Staff,Short-term,27
2009/10,The Hong Kong University of Science and Technology,Wholly self-financed,Academic Supporting Staff,Full-time,6
2009/10,The Hong Kong University of Science and Technology,Wholly self-financed,Academic Supporting Staff,Part-time,3
2009/10,The Hong Kong University of Science and Technology,Wholly self-financed,Academic Supporting Staff,Short-term,3
2009/10,The Hong Kong University of Science and Technology,Wholly self-financed,"Administrative, Technical and Other Staff",Full-time,153
2009/10,The Hong Kong University of Science and Technology,Wholly self-financed,"Administrative, Technical and Other Staff",Part-time,1
2009/10,The Hong Kong University of Science and Technology,Wholly self-financed,"Administrative, Technical and Other Staff",Short-term,8
2009/10,The Hong Kong University of Science and Technology,Wholly self-financed,Junior Academic Staff,Full-time,9
2009/10,The Hong Kong University of Science and Technology,Wholly self-financed,Junior Academic Staff,Short-term,2
2009/10,The Hong Kong University of Science and Technology,Wholly self-financed,Senior Academic Staff,Full-time,1
2009/10,The Hong Kong University of Science and Technology,Wholly self-financed,Senior Academic Staff,Part-time,1
2009/10,The Hong Kong University of Science and Technology,Wholly self-financed,Senior Academic Staff,Short-term,3
2009/10,The Hong Kong University of Science and Technology,Wholly self-financed,Technical Research Staff,Full-time,152
2009/10,The Hong Kong University of Science and Technology,Wholly self-financed,Technical Research Staff,Part-time,8
2009/10,The Hong Kong University of Science and Technology,Wholly self-financed,Technical Research Staff,Short-term,47
2009/10,The University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Full-time,8
2009/10,The University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Part-time,1
2009/10,The University of Hong Kong,Partially Funded by General Funds,Academic Supporting Staff,Short-term,3
2009/10,The University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Full-time,62
2009/10,The University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Part-time,9
2009/10,The University of Hong Kong,Partially Funded by General Funds,"Administrative, Technical and Other Staff",Short-term,22
2009/10,The University of Hong Kong,Partially Funded by General Funds,Junior Academic Staff,Full-time,56
2009/10,The University of Hong Kong,Partially Funded by General Funds,Junior Academic Staff,Short-term,1
2009/10,The University of Hong Kong,Partially Funded by General Funds,Senior Academic Staff,Full-time,6
2009/10,The University of Hong Kong,Partially Funded by General Funds,Technical Research Staff,Full-time,279
